,Unnamed: 0,Unnamed: 0_x,County_x,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,Unnamed: 0_y,County_y,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,Unnamed: 0_x.1,County_x.1,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,Unnamed: 0_y.1,County_y.1,2014 Population,2014 Violent Crime,2014 Murder,2014 Rape,2014 Robbery,2014 Aggravated Assault,Unnamed: 0.1,County,2013 Population,2013 Violent Crime,2013 Murder,2013 Rape,2013 Robbery,2013 Aggravated Assault,RegionID,StateName,SizeRank,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2017 Median Price
81,218,426,Medina County,Medina,26199,17,1,5,5,6,419.0,Medina County,26280.0,13.0,1.0,5.0,1.0,6.0,431.0,Medina County,26496.0,29.0,2.0,7.0,7.0,13.0,482.0,Medina County,26551.0,21.0,0.0,3.0,11.0,7.0,499.0,Medina County,26492.0,19.0,1.0,6.0,5.0,7.0,53253,Ohio,655,1619500,2070100,2083100,2257200,2239700,2294000
111,307,584,Summit County,Barberton,26050,103,1,19,14,69,577.0,Summit County,26172.0,75.0,0.0,17.0,10.0,48.0,590.0,Summit County,26242.0,58.0,1.0,11.0,15.0,31.0,669.0,Summit County,26286.0,68.0,0.0,13.0,14.0,41.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10249,Ohio,1742,0,0,0,0,0,405900
85,230,450,Miami County,Troy,25865,38,1,20,6,11,443.0,Miami County,25745.0,22.0,0.0,13.0,3.0,6.0,456.0,Miami County,25649.0,61.0,0.0,25.0,10.0,26.0,511.0,Miami County,25500.0,41.0,0.0,12.0,13.0,16.0,527.0,Miami County,25424.0,20.0,0.0,4.0,9.0,7.0,14192,Ohio,1279,1560900,1609900,1641200,1610100,1643100,1718500
1,11,22,Athens County,Athens,25526,34,0,4,6,24,24.0,Athens County,25203.0,27.0,0.0,6.0,8.0,13.0,28.0,Athens County,23960.0,22.0,0.0,4.0,4.0,14.0,34.0,Athens County,24083.0,27.0,0.0,8.0,2.0,17.0,33.0,Athens County,23721.0,17.0,0.0,3.0,3.0,11.0,43969,Ohio,1265,0,0,882000,1866600,1781200,2062600
70,190,374,Lorain County,Avon Lake,23839,8,0,0,1,7,366.0,Lorain County,23625.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14933,Ohio,2121,0,0,0,0,1901100,2515200
55,234,457,Dayton,Centerville,23780,14,0,2,4,8,450.0,Montgomery County,23851.0,13.0,0.0,0.0,3.0,10.0,463.0,Montgomery County,23886.0,14.0,0.0,2.0,6.0,6.0,520.0,Montgomery County,23947.0,23.0,0.0,3.0,5.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10764,Ohio,2013,1632300,1842400,1873600,1770600,1963900,1979400
82,219,427,Medina County,Wadsworth,23388,24,0,4,1,19,420.0,Medina County,21910.0,24.0,0.0,7.0,2.0,15.0,432.0,Medina County,21966.0,17.0,1.0,5.0,3.0,8.0,483.0,Medina County,21894.0,11.0,0.0,6.0,0.0,5.0,500.0,Medina County,21758.0,18.0,0.0,8.0,3.0,7.0,34613,Ohio,1476,1396900,1716800,1738100,1888500,1925200,1905200
26,87,150,Cuyahoga County,Solon,23023,13,0,2,4,7,146.0,Cuyahoga County,22971.0,11.0,1.0,5.0,1.0,4.0,157.0,Cuyahoga County,23014.0,13.0,1.0,2.0,2.0,8.0,176.0,Cuyahoga County,23113.0,8.0,0.0,0.0,1.0,7.0,178.0,Cuyahoga County,23105.0,7.0,0.0,2.0,2.0,3.0,13896,Ohio,1938,3023900,2691800,3215900,3184300,2919200,3179600
66,178,348,Lake County,Willoughby,22857,34,0,1,17,16,341.0,Lake County,22701.0,45.0,1.0,8.0,21.0,15.0,352.0,Lake County,22495.0,27.0,0.0,2.0,10.0,15.0,398.0,Lake County,22501.0,22.0,0.0,2.0,9.0,11.0,408.0,Lake County,22374.0,14.0,0.0,3.0,4.0,7.0,7954,Ohio,1986,0,0,0,0,1499700,1660300
4,33,57,Butler County,Oxford,22459,18,0,5,7,6,58.0,Butler County,22197.0,23.0,1.0,3.0,4.0,15.0,63.0,Butler County,21816.0,70.0,1.0,4.0,7.0,58.0,72.0,Butler County,21426.0,57.0,0.0,12.0,5.0,40.0,71.0,Butler County,21338.0,47.0,0.0,3.0,9.0,35.0,33291,Ohio,1688,0,0,893300,1918500,1990700,2107900
113,309,586,Summit County,Hudson,22248,12,0,2,1,9,579.0,Summit County,22470.0,4.0,0.0,1.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,Summit County,22526.0,4.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52591,Ohio,1996,3431000,3382200,3577500,3344900,3754600,3854900
124,351,672,Wood County,Perrysburg,21732,7,0,3,4,0,665.0,Wood County,21548.0,8.0,0.0,3.0,3.0,2.0,681.0,Wood County,21511.0,8.0,0.0,4.0,3.0,1.0,770.0,Wood County,21518.0,4.0,0.0,2.0,1.0,1.0,793.0,Wood County,21279.0,5.0,0.0,3.0,1.0,1.0,19911,Ohio,1197,2071900,2182700,2161300,2255600,2407100,2385400
27,88,151,Cuyahoga County,South Euclid,21628,33,0,5,14,14,147.0,Cuyahoga County,21686.0,35.0,0.0,4.0,23.0,8.0,158.0,Cuyahoga County,21772.0,37.0,1.0,5.0,20.0,11.0,177.0,Cuyahoga County,21895.0,22.0,0.0,1.0,11.0,10.0,179.0,Cuyahoga County,21929.0,31.0,0.0,0.0,22.0,9.0,34049,Ohio,2038,0,395700,808800,790900,847400,983200
83,228,448,Miami County,Piqua,20973,54,1,33,11,9,441.0,Miami County,20845.0,39.0,1.0,19.0,13.0,6.0,454.0,Miami County,20821.0,52.0,0.0,17.0,28.0,7.0,509.0,Miami County,20746.0,35.0,0.0,15.0,13.0,7.0,525.0,Miami County,20656.0,33.0,0.0,18.0,14.0,1.0,47131,Ohio,2491,0,659400,756200,783200,834700,991800
