,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
483,Muskingum County,Dresden,1707,0,0,0,0,0
484,Muskingum County,Frazeysburg,1294,1,0,0,0,1
485,Muskingum County,New Concord,2337,0,0,0,0,0
486,Muskingum County,Roseville,763,1,0,1,0,0
491,Ottawa County,Oak Harbor,2731,1,0,1,0,0
492,Ottawa County,Port Clinton,5928,21,0,12,3,6
493,Ottawa County,Genoa,2276,1,0,0,0,1
494,Ottawa County,Put in Bay,135,0,0,0,0,0
500,Muskingum County,Roseville,1083,3,0,1,1,1
501,Perry County,Crooksville,2491,0,0,0,0,0
502,Perry County,New Lexington,4716,11,0,6,1,4
506,Perry County,Somerset,1460,0,0,0,0,0
507,Perry County,Thornville,997,0,0,0,0,0
509,Pickaway County,Circleville,13972,57,0,13,21,23
510,Pickaway County,Ashville,4211,3,1,0,1,1
517,Portage County,Aurora,15932,3,0,0,1,2
518,Portage County,Garrettsville,2321,0,0,0,0,0
519,Portage County,Kent,30270,44,0,1,11,32
520,Portage County,Windham,2199,4,0,0,0,4
522,Portage County,Hiram,1164,3,0,1,0,2
524,Portage County,Streetsboro,16308,11,0,2,5,4
527,Portage County,Mogadore,1002,0,0,0,0,0
528,Summit County,Tallmadge,287,0,0,0,0,0
530,Preble County,Camden,1951,0,0,0,0,0
532,Preble County,West Alexandria,1339,1,0,1,0,0
534,Putnam County,Ottawa,4394,6,0,2,0,4
535,Putnam County,Columbus Grove,2077,0,0,0,0,0
536,Putnam County,Leipsic,2022,1,0,0,0,1
538,Putnam County,Pandora,1146,0,0,0,0,0
541,Richland County,Mansfield,46507,248,7,45,75,121
545,Richland County,Shelby,8987,11,0,9,0,2
546,Richland County,Bellville,1864,0,0,0,0,0
547,Richland County,Lexington,4686,0,0,0,0,0
549,Ross County,Chillicothe,21695,93,0,14,28,51
551,Sandusky County,Clyde,6191,4,0,0,0,4
552,Sandusky County,Fremont,16241,31,1,2,12,16
559,Seneca County,Tiffin,17481,18,0,2,4,12
561,Shelby County,Sidney,20466,42,3,24,9,6
562,Shelby County,Fort Loramie,1500,0,0,0,0,0
564,Stark County,Canton,71031,836,16,97,188,535
565,Stark County,Massillon,32265,52,0,14,11,27
