,Index,RegionID,RegionName,City,State,Metro,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ORI,AGENCY NAME,CountyName,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
59,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02309,PICKERINGTON,FRANKLIN COUNTY,FRANKLIN COUNTY,76,0,1,0,0,0,0,0,1,0,0
60,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH025A1,CAPITAL UNIVERSITY,FRANKLIN COUNTY,FRANKLIN COUNTY,0,0,53,0,0,0,0,10,41,2,0
61,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02501,BEXLEY,FRANKLIN COUNTY,FRANKLIN COUNTY,"13,773",20,420,1,4,10,5,104,301,15,0
62,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02503,DUBLIN,FRANKLIN COUNTY,FRANKLIN COUNTY,"39,242",27,456,1,10,8,8,51,388,17,1
63,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02504,GAHANNA,FRANKLIN COUNTY,FRANKLIN COUNTY,"35,243",25,791,1,13,5,6,87,677,27,6
64,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02505,GRANDVIEW HEIGHTS,FRANKLIN COUNTY,FRANKLIN COUNTY,"7,831",0,43,0,0,0,0,5,37,1,0
65,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02506,GROVE CITY,FRANKLIN COUNTY,FRANKLIN COUNTY,"40,421",47,"1,365",4,14,24,5,112,"1,197",56,0
66,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02507,HILLIARD,FRANKLIN COUNTY,FRANKLIN COUNTY,"36,144",17,404,0,6,2,9,75,293,36,2
67,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02508,REYNOLDSBURG,FRANKLIN COUNTY,FRANKLIN COUNTY,"27,631",71,780,1,16,35,19,98,656,26,3
68,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02509,UPPER ARLINGTON,FRANKLIN COUNTY,FRANKLIN COUNTY,"35,214",12,512,0,3,6,3,88,417,7,2
69,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02510,WESTERVILLE,FRANKLIN COUNTY,FRANKLIN COUNTY,"30,887",35,740,0,9,13,13,60,667,13,2
70,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02511,WHITEHALL,FRANKLIN COUNTY,FRANKLIN COUNTY,"18,835",125,"1,269",0,11,69,45,187,"1,001",81,12
71,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02512,WORTHINGTON,FRANKLIN COUNTY,FRANKLIN COUNTY,"14,692",11,267,2,2,3,4,27,227,13,1
72,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02514,COLUMBUS & FRKLN COUNTY,FRANKLIN COUNTY,FRANKLIN COUNTY,0,0,2,0,0,0,0,0,2,0,0
73,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02516,GROVEPORT,FRANKLIN COUNTY,FRANKLIN COUNTY,"5,583",12,185,0,3,6,3,29,144,12,1
74,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02517,HARRISBURG,FRANKLIN COUNTY,FRANKLIN COUNTY,337,0,1,0,0,0,0,0,1,0,0
75,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02520,MINERVA PARK,FRANKLIN COUNTY,FRANKLIN COUNTY,"1,318",2,17,0,0,1,1,2,14,1,0
76,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02521,NEW ALBANY,FRANKLIN COUNTY,FRANKLIN COUNTY,"10,670",4,91,0,2,0,2,6,81,4,0
77,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02527,OHIO STATE UNIVERSITY: COLUMBUS,FRANKLIN COUNTY,FRANKLIN COUNTY,0,41,798,0,30,5,6,24,763,11,1
78,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02534,PERRY TOWNSHIP,FRANKLIN COUNTY,FRANKLIN COUNTY,"3,758",2,53,0,0,1,1,4,47,2,0
79,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02535,MADISON TOWNSHIP,FRANKLIN COUNTY,FRANKLIN COUNTY,"18,661",19,187,0,2,5,12,51,129,7,0
80,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02540,SHARON TOWNSHIP,FRANKLIN COUNTY,FRANKLIN COUNTY,"2,390",0,41,0,0,0,0,3,37,1,0
81,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02544,COLUMBUS STATE COMMUNITY COLLEGE,FRANKLIN COUNTY,FRANKLIN COUNTY,0,1,43,0,0,1,0,1,41,1,0
82,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02599,OTTERBEIN UNIVERSITY,FRANKLIN COUNTY,FRANKLIN COUNTY,0,0,24,0,0,0,0,1,23,0,0
83,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02500,FRANKLIN COUNTY SHERIFF,FRANKLIN COUNTY,FRANKLIN COUNTY,"58,934",60,683,2,4,35,19,160,498,25,2
84,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04301,EASTLAKE,LAKE COUNTY,LAKE COUNTY,"18,056",14,330,1,2,5,6,38,282,10,1
85,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04302,FAIRPORT HARBOR,LAKE COUNTY,LAKE COUNTY,"3,050",7,73,0,1,1,5,14,57,2,2
86,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04304,KIRTLAND HILLS,LAKE COUNTY,LAKE COUNTY,638,0,0,0,0,0,0,0,0,0,0
87,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04306,MENTOR,LAKE COUNTY,LAKE COUNTY,"46,663",72,908,0,11,17,44,105,780,23,6
88,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04307,MENTOR-ON-THE-LAKE,LAKE COUNTY,LAKE COUNTY,"7,359",9,81,0,0,1,8,14,61,6,0
89,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04308,PAINESVILLE,LAKE COUNTY,LAKE COUNTY,"19,719",11,22,1,1,0,9,7,13,2,0
90,4,76971,44060,Mentor,OH,Cleveland-Elyria,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,OH04310,WAITE HILL,LAKE COUNTY,LAKE COUNTY,449,1,0,0,0,0,1,0,0,0,0
