,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
58,90.0,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0.0,0.0,0,0,3,16,2,0.0,275.0,CLERMONT COUNTY,OH03120,LOVELAND,"9,953",10,86,0.0,5.0,1,4,19,61,6,1.0
59,90.0,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0.0,0.0,0,0,3,16,2,0.0,643.0,CLERMONT COUNTY,OH03120,LOVELAND,823,0,7,0.0,0.0,0,0,2,5,0,0.0
60,92.0,CLINTON COUNTY,Blanchester,BLANCHESTER,"4,249",6,75,1.0,0.0,1,4,6,65,4,1.0,92.0,CLINTON COUNTY,OH01401,BLANCHESTER,"4,261",12,99,0.0,6.0,2,4,23,71,5,0.0
61,93.0,CLINTON COUNTY,New Vienna,NEW VIENNA,"1,199",0,5,0.0,0.0,0,0,0,5,0,0.0,93.0,CLINTON COUNTY,OH01402,NEW VIENNA,"1,201",0,13,0.0,0.0,0,0,3,7,3,0.0
62,94.0,CLINTON COUNTY,Sabina,SABINA,"2,530",2,63,0.0,1.0,0,1,14,46,3,0.0,94.0,CLINTON COUNTY,OH01403,SABINA,"2,534",3,52,0.0,2.0,0,1,15,37,0,1.0
63,95.0,CLINTON COUNTY,Wilmington,WILMINGTON,"12,443",18,578,0.0,9.0,2,7,59,499,20,2.0,95.0,CLINTON COUNTY,OH01404,WILMINGTON,"12,416",23,645,0.0,3.0,8,12,72,562,11,0.0
64,98.0,COLUMBIANA COUNTY,Columbiana,COLUMBIANA,"5,604",3,79,0.0,2.0,0,1,20,59,0,2.0,98.0,COLUMBIANA COUNTY,OH01501,COLUMBIANA,"5,583",3,33,0.0,1.0,1,1,3,30,0,0.0
65,98.0,COLUMBIANA COUNTY,Columbiana,COLUMBIANA,"5,604",3,79,0.0,2.0,0,1,20,59,0,2.0,402.0,COLUMBIANA COUNTY,OH01501,COLUMBIANA,650,0,4,0.0,0.0,0,0,0,4,0,0.0
66,99.0,COLUMBIANA COUNTY,East Palestine,EAST PALESTINE,"4,548",6,62,0.0,1.0,2,3,21,39,2,0.0,99.0,COLUMBIANA COUNTY,OH01503,EAST PALESTINE,"4,503",11,82,0.0,2.0,1,8,22,58,2,1.0
67,100.0,COLUMBIANA COUNTY,Lisbon,LISBON,"2,709",0,39,0.0,0.0,0,0,5,33,1,0.0,100.0,COLUMBIANA COUNTY,OH01505,LISBON,"2,680",1,26,0.0,1.0,0,0,6,19,1,0.0
68,101.0,COLUMBIANA COUNTY,Salem,SALEM,"11,939",9,310,0.0,1.0,1,7,18,286,6,1.0,101.0,COLUMBIANA COUNTY,OH01506,SALEM,"11,883",21,348,0.0,4.0,1,16,20,324,4,1.0
69,101.0,COLUMBIANA COUNTY,Salem,SALEM,"11,939",9,310,0.0,1.0,1,7,18,286,6,1.0,403.0,COLUMBIANA COUNTY,OH01506,SALEM,4,0,0,0.0,0.0,0,0,0,0,0,0.0
70,103.0,COLUMBIANA COUNTY,New Waterford,NEW WATERFORD,"1,195",0,2,0.0,0.0,0,0,1,1,0,0.0,104.0,COLUMBIANA COUNTY,OH01510,NEW WATERFORD,"1,183",0,3,0.0,0.0,0,0,1,2,0,0.0
71,109.0,COSHOCTON COUNTY,West Lafayette,WEST LAFAYETTE,"2,279",3,8,0.0,2.0,0,1,1,7,0,0.0,111.0,COSHOCTON COUNTY,OH01606,WEST LAFAYETTE,"2,287",3,6,0.0,2.0,0,1,1,5,0,0.0
72,110.0,COSHOCTON COUNTY,Coshocton,COSHOCTON COUNTY SHERIFF,"34,172",39,514,0.0,9.0,5,25,184,307,23,7.0,112.0,COSHOCTON COUNTY,OH01600,COSHOCTON COUNTY SHERIFF,"34,357",37,457,0.0,8.0,5,24,123,319,15,5.0
73,115.0,CUYAHOGA COUNTY,Cleveland,CLEVELAND,"386,227","6,299","20,533",135.0,488.0,"2,980","2,696","6,333","10,001","4,199",315.0,117.0,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
74,115.0,CUYAHOGA COUNTY,Cleveland,CLEVELAND,"386,227","6,299","20,533",135.0,488.0,"2,980","2,696","6,333","10,001","4,199",315.0,128.0,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
75,117.0,CUYAHOGA COUNTY,Bay Village,BAY VILLAGE,"15,346",2,64,0.0,1.0,0,1,12,49,3,0.0,119.0,CUYAHOGA COUNTY,OH01801,BAY VILLAGE,"15,327",2,73,0.0,1.0,0,1,11,61,1,0.0
76,118.0,CUYAHOGA COUNTY,Bedford,BEDFORD,"12,678",30,255,0.0,1.0,18,11,29,187,39,0.0,120.0,CUYAHOGA COUNTY,OH01803,BEDFORD,"12,641",25,228,1.0,1.0,16,7,50,146,32,0.0
77,121.0,CUYAHOGA COUNTY,Berea,BEREA,"18,805",11,181,0.0,2.0,5,4,19,154,8,1.0,122.0,CUYAHOGA COUNTY,OH01806,BEREA,"18,871",8,140,0.0,1.0,1,6,27,105,8,2.0
78,122.0,CUYAHOGA COUNTY,Brecksville,BRECKSVILLE,"13,390",4,54,0.0,0.0,2,2,5,47,2,1.0,123.0,CUYAHOGA COUNTY,OH01808,BRECKSVILLE,"13,432",2,52,0.0,1.0,0,1,4,47,1,0.0
