,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
70,110,COSHOCTON COUNTY,Coshocton,COSHOCTON COUNTY SHERIFF,"34,172",39,514,0,9,5,25,184,307,23,7,112,COSHOCTON COUNTY,OH01600,COSHOCTON COUNTY SHERIFF,"34,357",37,457,0,8,5,24,123,319,15,5
71,115,CUYAHOGA COUNTY,Cleveland,CLEVELAND,"386,227","6,299","20,533",135,488,"2,980","2,696","6,333","10,001","4,199",315,117,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107,497,"2,697","2,698","5,853","9,696","3,395",253
72,115,CUYAHOGA COUNTY,Cleveland,CLEVELAND,"386,227","6,299","20,533",135,488,"2,980","2,696","6,333","10,001","4,199",315,128,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5,8,83,40,100,89,150,3
73,117,CUYAHOGA COUNTY,Bay Village,BAY VILLAGE,"15,346",2,64,0,1,0,1,12,49,3,0,119,CUYAHOGA COUNTY,OH01801,BAY VILLAGE,"15,327",2,73,0,1,0,1,11,61,1,0
74,118,CUYAHOGA COUNTY,Bedford,BEDFORD,"12,678",30,255,0,1,18,11,29,187,39,0,120,CUYAHOGA COUNTY,OH01803,BEDFORD,"12,641",25,228,1,1,16,7,50,146,32,0
75,121,CUYAHOGA COUNTY,Berea,BEREA,"18,805",11,181,0,2,5,4,19,154,8,1,122,CUYAHOGA COUNTY,OH01806,BEREA,"18,871",8,140,0,1,1,6,27,105,8,2
76,122,CUYAHOGA COUNTY,Brecksville,BRECKSVILLE,"13,390",4,54,0,0,2,2,5,47,2,1,123,CUYAHOGA COUNTY,OH01808,BRECKSVILLE,"13,432",2,52,0,1,0,1,4,47,1,0
77,123,CUYAHOGA COUNTY,Broadview Heights,BROADVIEW HEIGHTS,"19,186",0,24,0,0,0,0,7,17,0,0,124,CUYAHOGA COUNTY,OH01809,BROADVIEW HEIGHTS,"19,228",1,21,0,0,0,1,5,11,5,0
78,126,CUYAHOGA COUNTY,Cleveland Heights,CLEVELAND HEIGHTS,"44,696",145,997,3,9,80,53,118,781,98,3,127,CUYAHOGA COUNTY,OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2,16,79,34,125,655,99,1
79,128,CUYAHOGA COUNTY,Euclid,EUCLID,"47,416",275,"1,329",8,17,107,143,343,804,182,5,129,CUYAHOGA COUNTY,OH01818,EUCLID,"47,270",303,"1,267",4,26,118,155,226,910,131,6
80,129,CUYAHOGA COUNTY,Fairview Park,FAIRVIEW PARK,"16,318",32,227,0,0,6,26,35,183,9,0,130,CUYAHOGA COUNTY,OH01819,FAIRVIEW PARK,"16,307",18,176,1,1,4,12,14,155,7,1
81,130,CUYAHOGA COUNTY,Garfield Heights,GARFIELD HEIGHTS,"27,938",37,190,0,7,17,13,74,116,0,2,131,CUYAHOGA COUNTY,OH01820,GARFIELD HEIGHTS,"27,846",0,0,0,0,0,0,0,0,0,0
82,134,CUYAHOGA COUNTY,Lakewood,LAKEWOOD,"50,349",63,876,3,8,32,20,144,665,67,4,136,CUYAHOGA COUNTY,OH01826,LAKEWOOD,"50,151",74,"1,199",2,6,40,26,469,652,78,5
