County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,OH02514,COLUMBUS & FRKLN COUNTY,0,0,2,0,0,0,0,0,2,0,0
Franklin County,Groveport,OH02516,GROVEPORT,"5,583",12,185,0,3,6,3,29,144,12,1
#N/A,#N/A,OH02517,HARRISBURG,337,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH02520,MINERVA PARK,"1,318",2,17,0,0,1,1,2,14,1,0
Franklin County,New Albany,OH02521,NEW ALBANY,"10,670",4,91,0,2,0,2,6,81,4,0
#N/A,#N/A,OH02527,OHIO STATE UNIVERSITY: COLUMBUS,0,41,798,0,30,5,6,24,763,11,1
#N/A,#N/A,OH02534,PERRY TOWNSHIP,"3,758",2,53,0,0,1,1,4,47,2,0
Lake County,Madison,OH02535,MADISON TOWNSHIP,"18,661",19,187,0,2,5,12,51,129,7,0
#N/A,#N/A,OH02540,SHARON TOWNSHIP,"2,390",0,41,0,0,0,0,3,37,1,0
#N/A,#N/A,OH02544,COLUMBUS STATE COMMUNITY COLLEGE,0,1,43,0,0,1,0,1,41,1,0
#N/A,#N/A,OH02599,OTTERBEIN UNIVERSITY,0,0,24,0,0,0,0,1,23,0,0
#N/A,#N/A,OH02500,FRANKLIN COUNTY SHERIFF,"58,934",60,683,2,4,35,19,160,498,25,2
Fulton County,Archbold,OH02601,ARCHBOLD,"4,338",2,41,0,1,0,1,6,34,1,0
Fulton County,Fayette,OH02603,FAYETTE,"1,265",2,12,0,2,0,0,2,10,0,1
Fulton County,Swanton,OH02604,SWANTON,"3,768",5,51,0,4,0,1,8,39,4,0
Fulton County,Wauseon,OH02605,WAUSEON,"7,407",10,169,0,1,1,8,14,151,4,0
#N/A,#N/A,OH02600,FULTON COUNTY SHERIFF,"22,688",24,191,0,7,1,16,58,131,2,0
#N/A,#N/A,OH02701,GALLIPOLIS,"3,431",15,291,1,4,2,8,62,220,9,1
#N/A,#N/A,OH02706,RIO GRANDE,844,0,9,0,0,0,0,0,8,1,0
#N/A,#N/A,OH02709,UNIVERSITY OF RIO GRANDE,0,2,0,0,2,0,0,0,0,0,0
#N/A,#N/A,OH02700,GALLIA COUNTY SHERIFF,"25,511",21,370,1,2,1,17,104,251,15,2
Geauga County,Chardon,OH02801,CHARDON,"5,199",10,96,0,1,0,9,4,91,1,0
Geauga County,Burton,OH02803,BURTON,"1,460",0,1,0,0,0,0,0,1,0,0
Geauga County,Middlefield,OH02805,MIDDLEFIELD,"2,715",1,86,0,0,0,1,2,84,0,0
#N/A,#N/A,OH02806,SOUTH RUSSELL,"3,819",0,7,0,0,0,0,0,7,0,0
#N/A,#N/A,OH02808,RUSSELL TOWNSHIP,"5,243",4,10,0,0,0,4,1,9,0,0
Geauga County,Chesterland,OH02810,CHESTER TOWNSHIP,"10,355",0,8,0,0,0,0,1,7,0,0
#N/A,#N/A,OH02812,BAINBRIDGE TOWNSHIP,"11,528",1,243,0,0,0,1,5,238,0,0
#N/A,#N/A,OH02818,HOLDEN ARBORETUM,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH02800,GEAUGA COUNTY SHERIFF,"53,977",19,185,0,8,4,7,43,127,15,0
#N/A,#N/A,OH02901,FAIRBORN,"33,936",82,723,0,30,13,39,165,505,53,4
Greene County,Xenia,OH02903,XENIA,"26,331",55,811,1,16,8,30,141,636,34,6
Greene County,Yellow Springs,OH02904,YELLOW SPRINGS,"3,713",11,72,0,4,4,3,20,47,5,0
Greene County,Bellbrook,OH02905,BELLBROOK,"7,159",5,39,0,1,0,4,0,39,0,0
Greene County,Jamestown,OH02909,JAMESTOWN,"2,036",3,84,0,1,2,0,27,53,4,1
Greene County,Beavercreek,OH02911,BEAVERCREEK,"46,572",38,"1,111",0,13,9,16,49,"1,013",49,2
#N/A,#N/A,OH02912,WRIGHT STATE UNIVERSITY,0,7,55,0,4,3,0,2,53,0,0
#N/A,#N/A,OH02913,SUGARCREEK TOWNSHIP,"8,300",4,181,0,3,0,1,14,162,5,0
#N/A,#N/A,OH02914,CENTRAL STATE UNIVERSITY,0,4,63,0,0,0,4,12,51,0,0
Dayton,Centerville,OH05701,CENTERVILLE,2,0,0,0,0,0,0,0,0,0,0
Dayton,Kettering,OH05705,KETTERING,471,0,8,0,0,0,0,2,6,0,0
#N/A,#N/A,OH02900,GREENE COUNTY SHERIFF,"33,052",36,421,3,16,2,15,97,298,26,2
Guernsey County,Cambridge,OH03001,CAMBRIDGE,"10,391",8,456,1,1,3,3,75,375,6,1
Guernsey County,Byesville,OH03002,BYESVILLE,"2,372",0,16,0,0,0,0,4,9,3,0
Guernsey County,Senecaville,OH03010,SENECAVILLE,448,0,0,0,0,0,0,0,0,0,0
Hamilton County,Cincinnati,OHCIP00,CINCINNATI,"299,116","2,833","15,105",70,292,"1,196","1,275","3,448","10,172","1,485",1
Clermont County,Milford,OH01303,MILFORD,29,0,1,0,0,0,0,0,1,0,0
