County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,OH06700,PORTAGE COUNTY SHERIFF,"70,629",62,"1,029",0,10,6,46,255,730,44,8
Preble County,Camden,OH06802,CAMDEN,"1,951",0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,OH06805,GRATIS,855,0,8,0,0,0,0,1,6,1,0
Preble County,West Alexandria,OH06809,WEST ALEXANDRIA,"1,339",1,13,0,1,0,0,4,9,0,0
#N/A,#N/A,OH06800,PREBLE COUNTY SHERIFF,"27,117",24,243,2,6,0,16,69,149,25,0
Putnam County,Ottawa,OH06901,OTTAWA,"4,394",6,14,0,2,0,4,0,13,1,0
Putnam County,Columbus Grove,OH06904,COLUMBUS GROVE,"2,077",0,1,0,0,0,0,0,1,0,0
Putnam County,Leipsic,OH06911,LEIPSIC,"2,022",1,12,0,0,0,1,4,8,0,0
#N/A,#N/A,OH06913,OTTOVILLE,975,0,0,0,0,0,0,0,0,0,0
Putnam County,Pandora,OH06914,PANDORA,"1,146",0,3,0,0,0,0,1,2,0,0
#N/A,#N/A,OH06916,KALIDA,"1,569",1,0,0,0,0,1,0,0,0,0
#N/A,#N/A,OH06900,PUTNAM COUNTY SHERIFF,"20,451",6,88,1,4,0,1,30,56,2,1
Richland County,Mansfield,OH07001,MANSFIELD,"46,507",248,"2,392",7,45,75,121,569,"1,745",78,19
#N/A,#N/A,OH01702,CRESTLINE,18,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH07002,ONTARIO,"6,058",8,328,0,0,7,1,7,320,1,0
#N/A,#N/A,OH07003,PLYMOUTH,912,0,2,0,0,0,0,0,1,1,0
Richland County,Shelby,OH07004,SHELBY,"8,987",11,262,0,9,0,2,54,205,3,1
Richland County,Bellville,OH07005,BELLVILLE,"1,864",0,18,0,0,0,0,2,15,1,0
Richland County,Lexington,OH07007,LEXINGTON,"4,686",0,9,0,0,0,0,1,8,0,1
#N/A,#N/A,OH07000,RICHLAND COUNTY SHERIFF,"50,986",57,958,0,15,15,27,264,649,45,3
Ross County,Chillicothe,OH07101,CHILLICOTHE,"21,695",93,"1,496",0,14,28,51,284,"1,160",52,6
#N/A,#N/A,OH07100,ROSS COUNTY SHERIFF,"55,325",104,"1,290",0,39,8,57,358,824,108,16
Sandusky County,Clyde,OH07202,CLYDE,"6,191",4,116,0,0,0,4,21,92,3,1
Sandusky County,Fremont,OH07203,FREMONT,"16,241",31,866,1,2,12,16,151,699,16,0
#N/A,#N/A,OH07200,SANDUSKY COUNTY SHERIFF,"27,107",41,70,0,0,0,41,17,52,1,0
#N/A,#N/A,OH07210,SANDUSKY COUNTY PARK,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH07301,NEW BOSTON,"2,134",7,216,0,0,3,4,29,176,11,0
#N/A,#N/A,OH07302,PORTSMOUTH,"20,451",118,"1,235",4,22,34,58,275,891,69,2
#N/A,#N/A,OH07309,SHAWNEE STATE UNIVERSITY,0,2,19,0,0,1,1,4,15,0,0
#N/A,#N/A,OH07300,SCIOTO COUNTY SHERIFF,"53,141",49,803,0,20,7,22,246,506,51,7
Seneca County,Tiffin,OH07402,TIFFIN,"17,481",18,390,0,2,4,12,55,331,4,1
#N/A,#N/A,OH07400,SENECA COUNTY SHERIFF,"24,732",51,240,2,5,44,0,89,151,0,0
Shelby County,Sidney,OH07501,SIDNEY,"20,466",42,822,3,24,9,6,162,641,19,6
Shelby County,Fort Loramie,OH07504,FORT LORAMIE,"1,500",0,2,0,0,0,0,0,1,1,0
#N/A,#N/A,OH07500,SHELBY COUNTY SHERIFF,"23,719",22,131,1,4,1,16,31,95,5,1
Stark County,Canton,OH07604,CANTON,"71,031",836,"3,766",16,97,188,535,"1,008","2,512",246,12
Stark County,Massillon,OH07608,MASSILLON,"32,265",52,401,0,14,11,27,69,326,6,6
Stark County,Alliance,OH07601,ALLIANCE,"21,803",75,799,0,14,11,50,109,649,41,6
Stark County,Brewster,OH07602,BREWSTER,"2,154",0,14,0,0,0,0,2,12,0,1
Stark County,Canal Fulton,OH07603,CANAL FULTON,"5,428",2,75,0,1,0,1,26,47,2,0
Stark County,East Canton,OH07605,EAST CANTON,"1,589",0,10,0,0,0,0,0,10,0,0
Stark County,Hartville,OH07606,HARTVILLE,"3,030",2,78,0,0,0,2,1,77,0,1
Stark County,Louisville,OH07607,LOUISVILLE,"9,373",2,123,0,0,0,2,22,98,3,1
Stark County,Minerva,OH07609,MINERVA,"1,931",1,20,0,0,0,1,4,14,2,0
Stark County,Navarre,OH07610,NAVARRE,"1,901",1,22,0,0,0,1,3,18,1,0
Stark County,North Canton,OH07611,NORTH CANTON,"17,348",12,281,0,4,3,5,41,232,8,0
Stark County,Beach City,OH07612,BEACH CITY,989,0,6,0,0,0,0,1,4,1,0
Stark County,North Lawrence,OH07622,LAWRENCE TOWNSHIP,"8,273",9,85,2,2,0,5,31,48,6,0
Mahoning County,North Jackson,OH07624,JACKSON TOWNSHIP,"40,624",58,"1,101",1,14,24,19,120,963,18,7
#N/A,#N/A,OH07625,UNIONTOWN,"3,340",3,80,0,2,0,1,16,58,6,0
Stark County,Magnolia,OH07630,MAGNOLIA,714,1,13,0,1,0,0,2,10,1,0
#N/A,#N/A,OH07600,STARK COUNTY SHERIFF,"118,577",122,"1,795",4,34,27,57,449,"1,233",113,7
Summit County,Akron,OH07701,AKRON,"197,412","1,377","8,360",42,209,395,731,"2,301","5,304",755,103
Summit County,Barberton,OH07702,BARBERTON,"26,050",103,881,1,19,14,69,158,682,41,8
Summit County,Cuyahoga Falls,OH07703,CUYAHOGA FALLS,"49,145",49,"1,209",2,18,8,21,143,"1,027",39,1
Summit County,Hudson,OH07705,HUDSON,"22,248",12,114,0,2,1,9,36,76,2,4
#N/A,#N/A,OH07706,LAKEMORE,"3,059",5,31,0,0,1,4,2,27,2,0
Summit County,Macedonia,OH07707,MACEDONIA,"12,027",5,206,0,1,1,3,14,189,3,1
Portage County,Mogadore,OH07708,MOGADORE,"2,827",0,37,0,0,0,0,9,27,1,0
Summit County,Northfield,OH07709,NORTHFIELD,"3,669",5,39,0,0,1,4,4,32,3,0
#N/A,#N/A,OH07710,NORTON,"11,994",9,186,0,4,0,5,38,137,11,1
Summit County,Stow,OH07712,STOW,"34,692",32,690,1,19,6,6,102,584,4,0
Summit County,Tallmadge,OH07713,TALLMADGE,"17,242",18,329,0,6,8,4,54,263,12,5
Summit County,Twinsburg,OH07714,TWINSBURG,"18,891",18,111,2,0,4,12,9,99,3,0
Summit County,Munroe Falls,OH07717,MUNROE FALLS,"5,051",1,39,0,0,0,1,7,32,0,0
Summit County,Peninsula,OH07718,PENINSULA,563,0,22,0,0,0,0,2,19,1,0
#N/A,#N/A,OH07719,REMINDERVILLE,"4,235",2,30,0,1,1,0,3,26,1,0
#N/A,#N/A,OH07720,BATH TOWNSHIP,"9,678",9,116,0,2,3,4,14,100,2,0
#N/A,#N/A,OH07725,SPRINGFIELD TOWNSHI,"14,434",32,781,0,8,11,13,108,645,28,4
Summit County,Copley,OH07727,COPLEY TOWNSHIP,"17,280",15,163,1,1,2,11,24,133,6,0
#N/A,#N/A,OH07728,UNIVERSITY OF AKRON,0,6,183,0,5,0,1,5,171,7,0
#N/A,#N/A,OH07729,NEW FRANKLIN,"14,137",15,117,0,3,2,10,29,84,4,0
#N/A,#N/A,OH07730,SAGAMORE HILLS,"10,951",0,35,0,0,0,0,7,27,1,0
#N/A,#N/A,OH07700,SUMMIT COUNTY SHERIFF,"51,006",59,"1,105",2,22,11,24,195,852,58,7
Mahoning County,Youngstown,OH05009,YOUNGSTOWN,11,0,0,0,0,0,0,0,0,0,0
Trumbull County,Warren,OH07807,WARREN,"39,643",227,"1,608",11,32,101,83,494,"1,008",106,2
Trumbull County,Hubbard,OH07802,HUBBARD,"7,533",8,110,0,3,0,5,10,99,1,2
#N/A,#N/A,OH07803,LIBERTY TOWNSHIP,"11,556",30,148,0,2,5,23,32,102,14,0
Trumbull County,Newton Falls,OH07805,NEWTON FALLS,"4,567",10,100,0,4,0,6,18,76,6,0
Trumbull County,Niles,OH07806,NILES,"18,334",55,536,0,8,12,35,95,424,17,0
Trumbull County,Cortland,OH07808,CORTLAND,"6,844",1,46,0,0,1,0,6,39,1,0
#N/A,#N/A,OH07810,WEST FARMINGTON,480,0,1,0,0,0,0,1,0,0,0
#N/A,#N/A,OH07812,HOWLAND TOWNSHIP,"16,608",14,383,0,1,7,6,44,319,20,0
Trumbull County,Lordstown,OH07814,LORDSTOWN,"3,242",3,44,0,1,0,2,10,31,3,1
#N/A,#N/A,OH07815,BAZETTA TOWNSHIP,"5,614",6,127,0,1,0,5,18,109,0,0
#N/A,#N/A,OH07816,HUBBARD TOWNSHIP,"5,372",7,93,0,3,1,3,21,65,7,0
#N/A,#N/A,OH07819,HARTFORD TOWNSHIP,"1,978",0,9,0,0,0,0,3,5,1,0
#N/A,#N/A,OH07821,WARREN TOWNSHIP,"5,255",21,172,0,1,3,17,52,106,14,0
#N/A,#N/A,OH07823,WEATHERSFIELD,"7,962",6,33,1,3,1,1,4,26,3,1
#N/A,#N/A,OH07800,TRUMBULL COUNTY SHERIFF,"26,945",24,318,1,6,3,14,136,153,29,2
Tuscarawas County,Dennison,OH07901,DENNISON,"2,625",2,7,0,0,0,2,0,6,1,1
#N/A,#N/A,OH07902,DOVER,"12,839",9,122,0,2,1,6,27,90,5,0
#N/A,#N/A,OH07903,NEWCOMERSTOWN,"3,767",3,69,1,0,1,1,13,50,6,0
#N/A,#N/A,OH07904,NEW PHILADELPHIA,"17,492",9,139,0,0,2,7,15,120,4,0
#N/A,#N/A,OH07906,UHRICHSVILLE,"5,372",5,48,0,3,1,1,7,30,11,0
#N/A,#N/A,OH07909,BOLIVAR,986,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH07910,GNADENHUTTEN,"1,282",0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,OH07914,PORT WASHINGTON,566,0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,OH07918,STRASBURG,"2,689",1,23,0,0,1,0,5,18,0,0
#N/A,#N/A,OH07919,TUSCARAWAS,"1,055",0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,OH07921,MUSKINGUM WATERSHED,0,6,41,0,1,0,5,4,37,0,0
#N/A,#N/A,OH07900,TUSCARAWAS COUNTY SHERIFF,"41,002",22,234,1,8,3,10,66,150,18,2
Franklin County,Dublin,OH02503,DUBLIN,"2,510",1,29,0,1,0,0,3,25,1,0
Union County,Marysville,OH08001,MARYSVILLE,"23,622",17,290,1,4,3,9,27,255,8,1
#N/A,#N/A,OH08000,UNION COUNTY SHERIFF,"26,823",24,221,0,5,0,19,44,158,19,1
Allen County,Delphos,OH00202,DELPHOS,"3,052",3,69,0,3,0,0,13,56,0,0
Van Wert County,Van Wert,OH08101,VAN WERT,"10,713",22,330,1,7,3,11,56,268,6,0
#N/A,#N/A,OH08100,VAN WERT COUNTY SHERIFF,"14,621",17,109,0,5,0,12,35,70,4,0
#N/A,#N/A,OH08201,MCARTHUR,"1,636",1,43,0,0,1,0,8,32,3,2
#N/A,#N/A,OH08200,VINTON COUNTY SHERIFF,"11,239",13,107,0,6,0,7,36,62,9,1
Butler County,Middletown,OH00903,MIDDLETOWN,"2,759",14,168,0,2,5,7,39,119,10,0
#N/A,#N/A,OH00905,MONROE,144,0,3,0,0,0,0,0,3,0,0
Clermont County,Loveland,OH03120,LOVELAND,823,0,7,0,0,0,0,2,5,0,0
Warren County,Franklin,OH08301,FRANKLIN,"11,779",31,443,1,6,13,11,70,359,14,1
#N/A,#N/A,OH08302,HARVEYSBURG,557,0,0,0,0,0,0,0,0,0,0
Warren County,Lebanon,OH08303,LEBANON,"20,741",4,116,0,0,1,3,12,101,3,2
Warren County,Mason,OH08304,MASON,"33,406",12,357,0,5,3,4,31,321,5,0
#N/A,#N/A,OH08308,CARLISLE,"5,194",3,43,0,1,0,2,11,32,0,0
#N/A,#N/A,OH08310,HAMILTON TOWNSHIP,"22,916",3,59,0,1,0,2,6,52,1,0
Warren County,Maineville,OH08311,MAINEVILLE,"1,070",0,1,0,0,0,0,1,0,0,0
Warren County,Springboro,OH08314,SPRINGBORO,"17,359",10,114,0,5,0,5,14,98,2,0
#N/A,#N/A,OH08316,CLEARCREEK TOWNSHIP,"15,531",11,74,1,2,0,8,8,63,3,0
#N/A,#N/A,OH08300,WARREN COUNTY SHERIFF,"94,645",60,888,1,15,10,34,129,679,80,3
Washington County,Belpre,OH08401,BELPRE,"6,466",2,76,0,0,0,2,15,56,5,0
Washington County,Marietta,OH08402,MARIETTA,"13,582",23,250,0,11,2,10,37,197,16,2
#N/A,#N/A,OH08408,MARIETTA COLLEGE,0,0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,OH08400,WASHINGTON COUNTY SHERIFF,"37,799",9,146,0,2,0,7,39,98,9,1
#N/A,#N/A,OH07710,NORTON,4,0,0,0,0,0,0,0,0,0,0
Wayne County,Orrville,OH08501,ORRVILLE,"8,527",15,107,0,6,0,9,17,84,6,0
Wayne County,Rittman,OH08502,RITTMAN,"6,496",9,107,0,3,2,4,35,64,8,1
Wayne County,Wooster,OH08503,WOOSTER,"27,172",102,916,0,30,24,48,157,722,37,6
Wayne County,Apple Creek,OH08504,APPLE CREEK,"1,188",2,4,0,0,0,2,0,4,0,0
Wayne County,Creston,OH08507,CRESTON,"2,097",1,20,0,0,0,1,6,12,2,1
Wayne County,Marshallville,OH08511,MARSHALLVILLE,761,1,1,0,1,0,0,0,1,0,0
Wayne County,Smithville,OH08514,SMITHVILLE,"1,277",1,1,0,1,0,0,0,1,0,0
#N/A,#N/A,OH08500,WAYNE COUNTY SHERIFF,"61,363",66,541,2,13,4,47,214,297,30,6
Williams County,Montpelier,OH08602,MONTPELIER,"3,976",27,139,0,5,1,21,28,105,6,0
Williams County,Pioneer,OH08607,PIONEER,"1,412",3,31,0,2,0,1,5,24,2,0
#N/A,#N/A,OH08600,WILLIAMS COUNTY SHERIFF,"19,588",4,24,0,0,1,3,11,10,3,0
Wood County,Bowling Green,OH08701,BOWLING GREEN,"31,779",41,587,0,20,6,15,86,486,15,3
Wood County,North Baltimore,OH08702,NORTH BALTIMORE,"3,546",10,46,0,2,0,8,9,36,1,0
Wood County,Perrysburg,OH08703,PERRYSBURG,"21,732",7,232,0,3,4,0,10,221,1,0
#N/A,#N/A,OH08706,BLOOMDALE,686,1,5,0,0,0,1,3,2,0,0
Wood County,Bradner,OH08707,BRADNER,"1,024",1,2,0,0,0,1,0,2,0,0
Wood County,Northwood,OH08718,NORTHWOOD,"5,423",19,138,0,2,4,13,17,116,5,0
Wood County,Pemberville,OH08719,PEMBERVILLE,"1,425",0,1,0,0,0,0,0,1,0,0
Wood County,Wayne,OH08724,WAYNE,927,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH08727,BOWLING GREEN STATE,0,0,31,0,0,0,0,0,31,0,0
#N/A,#N/A,OH08728,PERRYSBURG TOWNSHIP,"12,784",5,167,0,1,0,4,21,139,7,0
#N/A,#N/A,OH08700,WOOD COUNTY SHERIFF,"29,991",26,343,2,12,1,11,99,228,16,3
#N/A,#N/A,OH08734,WOOD COUNTY PARK,0,0,6,0,0,0,0,0,6,0,0
#N/A,#N/A,OH08801,CAREY,"3,566",1,8,0,0,0,1,2,6,0,0
#N/A,#N/A,OH08802,UPPER SANDUSKY,"6,529",15,159,0,4,0,11,30,126,3,1
#N/A,#N/A,OH08800,WYANDOT COUNTY SHERIFF,"11,177",2,15,0,0,0,2,6,8,1,0
