,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,Crime_Percent2017
465,Dayton,Vandalia,15022,26,0,10,11,5,173.0794834
466,Dayton,Huber Heights,37001,75,0,15,20,40,202.6972244
467,Dayton,West Carrollton,12898,23,1,5,11,6,178.3222205
468,Dayton,Brookville,5896,6,0,3,3,0,101.7639077
469,Dayton,Englewood,13504,19,0,1,7,11,140.6990521
470,Dayton,New Lebanon,3966,10,0,2,4,4,252.1432173
474,Mahoning County,North Jackson,3658,1,0,0,0,1,27.33734281
479,Warren County,Springboro,1273,0,0,0,0,0,0
484,Muskingum County,Zanesville,25457,100,0,19,21,60,392.8192639
485,Muskingum County,Dresden,1707,0,0,0,0,0,0
486,Muskingum County,Frazeysburg,1294,1,0,0,0,1,77.2797527
487,Muskingum County,New Concord,2337,0,0,0,0,0,0
488,Muskingum County,Roseville,763,1,0,1,0,0,131.061599
493,Ottawa County,Oak Harbor,2731,1,0,1,0,0,36.61662395
494,Ottawa County,Port Clinton,5928,21,0,12,3,6,354.2510121
495,Ottawa County,Genoa,2276,1,0,0,0,1,43.93673111
496,Ottawa County,Put in Bay,135,0,0,0,0,0,0
502,Muskingum County,Roseville,1083,3,0,1,1,1,277.0083102
503,Perry County,Crooksville,2491,0,0,0,0,0,0
504,Perry County,New Lexington,4716,11,0,6,1,4,233.2485157
508,Perry County,Somerset,1460,0,0,0,0,0,0
509,Perry County,Thornville,997,0,0,0,0,0,0
511,Pickaway County,Circleville,13972,57,0,13,21,23,407.9587747
512,Pickaway County,Ashville,4211,3,1,0,1,1,71.24198528
519,Portage County,Aurora,15932,3,0,0,1,2,18.83002762
520,Portage County,Garrettsville,2321,0,0,0,0,0,0
521,Portage County,Kent,30270,44,0,1,11,32,145.3584407
522,Portage County,Windham,2199,4,0,0,0,4,181.900864
524,Portage County,Hiram,1164,3,0,1,0,2,257.7319588
526,Portage County,Streetsboro,16308,11,0,2,5,4,67.45155752
529,Portage County,Mogadore,1002,0,0,0,0,0,0
530,Summit County,Tallmadge,287,0,0,0,0,0,0
532,Preble County,Camden,1951,0,0,0,0,0,0
534,Preble County,West Alexandria,1339,1,0,1,0,0,74.68259895
536,Putnam County,Ottawa,4394,6,0,2,0,4,136.5498407
537,Putnam County,Columbus Grove,2077,0,0,0,0,0,0
538,Putnam County,Leipsic,2022,1,0,0,0,1,49.45598417
540,Putnam County,Pandora,1146,0,0,0,0,0,0
543,Richland County,Mansfield,46507,248,7,45,75,121,533.2530587
547,Richland County,Shelby,8987,11,0,9,0,2,122.3990208
548,Richland County,Bellville,1864,0,0,0,0,0,0
549,Richland County,Lexington,4686,0,0,0,0,0,0
551,Ross County,Chillicothe,21695,93,0,14,28,51,428.6702005
553,Sandusky County,Clyde,6191,4,0,0,0,4,64.60991762
554,Sandusky County,Fremont,16241,31,1,2,12,16,190.8749461
561,Seneca County,Tiffin,17481,18,0,2,4,12,102.9689377
563,Shelby County,Sidney,20466,42,3,24,9,6,205.218411
564,Shelby County,Fort Loramie,1500,0,0,0,0,0,0
566,Stark County,Canton,71031,836,16,97,188,535,1176.950909
567,Stark County,Massillon,32265,52,0,14,11,27,161.1653494
568,Stark County,Alliance,21803,75,0,14,11,50,343.9893593
569,Stark County,Brewster,2154,0,0,0,0,0,0
570,Stark County,Canal Fulton,5428,2,0,1,0,1,36.84598379
571,Stark County,East Canton,1589,0,0,0,0,0,0
572,Stark County,Hartville,3030,2,0,0,0,2,66.00660066
573,Stark County,Louisville,9373,2,0,0,0,2,21.33788542
574,Stark County,Minerva,1931,1,0,0,0,1,51.78663905
575,Stark County,Navarre,1901,1,0,0,0,1,52.60389269
576,Stark County,North Canton,17348,12,0,4,3,5,69.17223887
577,Stark County,Beach City,989,0,0,0,0,0,0
578,Stark County,North Lawrence,8273,9,2,2,0,5,108.7876224
579,Mahoning County,North Jackson,40624,58,1,14,24,19,142.7727452
581,Stark County,Magnolia,714,1,0,1,0,0,140.0560224
583,Summit County,Akron,197412,1377,42,209,395,731,697.5259863
584,Summit County,Barberton,26050,103,1,19,14,69,395.3934741
585,Summit County,Cuyahoga Falls,49145,49,2,18,8,21,99.70495473
586,Summit County,Hudson,22248,12,0,2,1,9,53.93743258
588,Summit County,Macedonia,12027,5,0,1,1,3,41.57312713
589,Portage County,Mogadore,2827,0,0,0,0,0,0
590,Summit County,Northfield,3669,5,0,0,1,4,136.2769147
592,Summit County,Stow,34692,32,1,19,6,6,92.24028594
593,Summit County,Tallmadge,17242,18,0,6,8,4,104.3962417
594,Summit County,Twinsburg,18891,18,2,0,4,12,95.28346832
595,Summit County,Munroe Falls,5051,1,0,0,0,1,19.79805979
596,Summit County,Peninsula,563,0,0,0,0,0,0
600,Summit County,Copley,17280,15,1,1,2,11,86.80555556
605,Mahoning County,Youngstown,11,0,0,0,0,0,0
606,Trumbull County,Warren,39643,227,11,32,101,83,572.6105492
607,Trumbull County,Hubbard,7533,8,0,3,0,5,106.1993894
609,Trumbull County,Newton Falls,4567,10,0,4,0,6,218.9621196
610,Trumbull County,Niles,18334,55,0,8,12,35,299.9890913
611,Trumbull County,Cortland,6844,1,0,0,1,0,14.6113384
614,Trumbull County,Lordstown,3242,3,0,1,0,2,92.53547193
621,Tuscarawas County,Dennison,2625,2,0,0,0,2,76.19047619
633,Franklin County,Dublin,2510,1,0,1,0,0,39.84063745
634,Union County,Marysville,23622,17,1,4,3,9,71.9668106
636,Allen County,Delphos,3052,3,0,3,0,0,98.29619921
637,Van Wert County,Van Wert,10713,22,1,7,3,11,205.3579763
641,Butler County,Middletown,2759,14,0,2,5,7,507.4302283
643,Clermont County,Loveland,823,0,0,0,0,0,0
644,Warren County,Franklin,11779,31,1,6,13,11,263.180236
646,Warren County,Lebanon,20741,4,0,0,1,3,19.28547322
647,Warren County,Mason,33406,12,0,5,3,4,35.92169071
650,Warren County,Maineville,1070,0,0,0,0,0,0
651,Warren County,Springboro,17359,10,0,5,0,5,57.60700501
654,Washington County,Belpre,6466,2,0,0,0,2,30.93102382
655,Washington County,Marietta,13582,23,0,11,2,10,169.3417759
659,Wayne County,Orrville,8527,15,0,6,0,9,175.9118095
660,Wayne County,Rittman,6496,9,0,3,2,4,138.546798
661,Wayne County,Wooster,27172,102,0,30,24,48,375.3864272
662,Wayne County,Apple Creek,1188,2,0,0,0,2,168.3501684
663,Wayne County,Creston,2097,1,0,0,0,1,47.68717215
664,Wayne County,Marshallville,761,1,0,1,0,0,131.4060447
665,Wayne County,Smithville,1277,1,0,1,0,0,78.30853563
667,Williams County,Montpelier,3976,27,0,5,1,21,679.0744467
668,Williams County,Pioneer,1412,3,0,2,0,1,212.4645892
670,Wood County,Bowling Green,31779,41,0,20,6,15,129.0160169
671,Wood County,North Baltimore,3546,10,0,2,0,8,282.0078962
672,Wood County,Perrysburg,21732,7,0,3,4,0,32.21056507
674,Wood County,Bradner,1024,1,0,0,0,1,97.65625
675,Wood County,Northwood,5423,19,0,2,4,13,350.3595796
676,Wood County,Pemberville,1425,0,0,0,0,0,0
677,Wood County,Wayne,927,0,0,0,0,0,0
