,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
761,Wayne County,West Salem,1478.0,,,,,
764,Williams County,Bryan,8529.0,,,,,
765,Williams County,Montpelier,4048.0,9.0,,2.0,,7.0
766,Williams County,Pioneer,1373.0,2.0,,2.0,,
768,Wood County,Bowling Green,32145.0,38.0,,16.0,9.0,13.0
769,Wood County,North Baltimore,3510.0,1.0,,1.0,,
770,Wood County,Perrysburg,21518.0,4.0,,2.0,1.0,1.0
771,Wood County,Rossford,6539.0,2.0,,1.0,,1.0
772,Wood County,Bradner,1010.0,,,,,
773,Wood County,Haskins,1222.0,,,,,
774,Wood County,Luckey,1042.0,,,,,
775,Wood County,Northwood,5364.0,16.0,,2.0,10.0,4.0
776,Wood County,Pemberville,1410.0,,,,,
777,Wood County,Walbridge,3068.0,3.0,,1.0,1.0,1.0
