County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,18912,24,0,12,0,12
#N/A,#N/A,3318,16,0,0,0,16
#N/A,#N/A,4869,2,0,2,0,0
Jefferson County,Wintersville,3789,3,0,0,1,2
#N/A,#N/A,590,1,0,0,0,1
#N/A,#N/A,1314,1,0,0,0,1
#N/A,#N/A,1295,1,0,0,0,1
#N/A,#N/A,2718,6,0,3,0,3
#N/A,#N/A,21534,12,0,1,1,10
Knox County,Mount Vernon,16727,37,0,11,4,22
#N/A,#N/A,1019,0,0,0,0,0
Knox County,Fredericktown,2502,4,0,1,0,3
#N/A,#N/A,20,0,0,0,0,0
#N/A,#N/A,40942,30,0,16,2,12
Lake County,Eastlake,18261,11,0,1,7,3
#N/A,#N/A,3090,10,0,6,1,3
#N/A,#N/A,642,0,0,0,0,0
Lake County,Mentor,46802,59,1,6,19,33
#N/A,#N/A,7404,8,0,1,0,7
Lake County,Painesville,19913,17,0,0,6,11
#N/A,#N/A,466,1,0,0,0,1
Lake County,Wickliffe,12545,2,0,0,2,0
Lake County,Willoughby,22495,27,0,2,10,15
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,6809,5,0,1,1,3
#N/A,#N/A,45440,220,4,24,4,188
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,2152,1,0,0,0,1
#N/A,#N/A,10963,29,0,7,6,16
#N/A,#N/A,730,0,0,0,0,0
#N/A,#N/A,3958,4,0,1,1,2
#N/A,#N/A,43420,55,1,12,8,34
#N/A,#N/A,8902,1,0,0,0,1
#N/A,#N/A,63,0,0,0,0,0
#N/A,#N/A,47889,66,0,14,22,30
Licking County,Granville,5736,3,0,3,0,0
#N/A,#N/A,10496,34,0,5,8,21
Licking County,Johnstown,4926,5,0,0,0,5
Licking County,Saint Louisville,375,0,0,0,0,0
#N/A,#N/A,2164,1,0,1,0,0
#N/A,#N/A,64309,65,1,21,11,32
Logan County,Bellefontaine,13124,30,0,8,5,17
Logan County,Russells Point,1361,1,0,1,0,0
Logan County,De Graff,1264,0,0,0,0,0
Logan County,West Liberty,1775,4,0,1,0,3
#N/A,#N/A,25729,15,0,6,2,7
Lorain County,Elyria,53843,8,0,5,2,1
Lorain County,Vermilion,5808,3,0,1,0,2
Lorain County,Amherst,12171,5,0,0,5,0
Lorain County,Lorain,63700,171,0,20,66,85
Lorain County,Oberlin,8215,18,1,11,4,2
Lorain County,North Ridgeville,32469,11,2,3,3,3
Lorain County,Sheffield Lake,9039,2,0,0,1,1
Lorain County,Grafton,5981,6,0,3,0,3
#N/A,#N/A,60650,44,0,19,13,12
#N/A,#N/A,0,0,0,0,0,0
Lucas County,Toledo,279552,3156,24,228,902,2002
#N/A,#N/A,135,0,0,0,0,0
Lucas County,Maumee,13978,14,0,1,5,8
Lucas County,Oregon,20160,35,0,3,10,22
#N/A,#N/A,4463,2,0,2,0,0
#N/A,#N/A,29497,22,0,1,9,12
Lucas County,Holland,1702,10,0,0,9,1
Lucas County,Waterville,5515,0,0,0,0,0
Lucas County,Whitehouse,4473,3,0,2,0,1
