,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
501,Ottawa County,Oak Harbor,12,OH06201,OAK HARBOR,"2,728",3,0.0,2.0,0,1
502,Ottawa County,Port Clinton,12,OH06202,PORT CLINTON,"5,998",20,0.0,13.0,0,7
503,Ottawa County,Genoa,10,OH06205,GENOA,"2,318",0,0.0,0.0,0,0
504,Ottawa County,Marblehead,10,OH06206,MARBLEHEAD,892,2,0.0,0.0,0,2
508,Paulding County,Paulding,12,OH06300,PAULDING COUNTY SHERIFF,"13,275",17,1.0,1.0,0,15
510,Perry County,Crooksville,11,OH06401,CROOKSVILLE,"2,484",2,0.0,0.0,1,1
511,Perry County,New Lexington,12,OH06402,NEW LEXINGTON,"4,708",13,0.0,3.0,3,7
513,Perry County,Somerset,3,OH06411,SOMERSET,"1,457",0,0.0,0.0,0,0
514,Perry County,Thornville,9,OH06412,THORNVILLE,992,1,0.0,1.0,0,0
516,Pickaway County,Circleville,12,OH06501,CIRCLEVILLE,"13,482",39,1.0,10.0,13,15
517,Pickaway County,Ashville,12,OH06502,ASHVILLE,"4,160",3,0.0,0.0,0,3
524,Portage County,Aurora,12,OH06701,AURORA,"15,783",6,0.0,3.0,0,3
525,Portage County,Garrettsville,12,OH06702,GARRETTSVILLE,"2,327",1,0.0,0.0,0,1
526,Portage County,Kent,12,OH06703,KENT,"29,831",65,1.0,2.0,9,53
527,Portage County,Windham,12,OH06706,WINDHAM,"2,202",9,0.0,4.0,0,5
529,Portage County,Hiram,7,OH06708,HIRAM,"1,275",0,0.0,0.0,0,0
531,Portage County,Streetsboro,12,OH06712,STREETSBORO,"16,286",12,0.0,4.0,3,5
534,Portage County,Mogadore,12*,OH07708,MOGADORE,"1,023",1,0.0,0.0,0,1
537,Preble County,Camden,5,OH06802,CAMDEN,"1,970",0,0.0,0.0,0,0
540,Preble County,West Alexandria,12,OH06809,WEST ALEXANDRIA,"1,341",3,0.0,1.0,0,2
542,Putnam County,Ottawa,11,OH06901,OTTAWA,"4,410",3,0.0,1.0,0,2
543,Putnam County,Columbus Grove,11,OH06904,COLUMBUS GROVE,"2,071",2,0.0,0.0,0,2
544,Putnam County,Leipsic,12,OH06911,LEIPSIC,"2,038",0,0.0,0.0,0,0
546,Putnam County,Pandora,2,OH06914,PANDORA,"1,151",0,0.0,0.0,0,0
549,Richland County,Mansfield,12,OH07001,MANSFIELD,"46,605",236,5.0,60.0,75,96
551,Richland County,Plymouth,08*,OH07003,PLYMOUTH,918,3,0.0,1.0,0,2
552,Richland County,Shelby,12,OH07004,SHELBY,"9,038",3,0.0,1.0,2,0
553,Richland County,Bellville,12,OH07005,BELLVILLE,"1,869",2,0.0,0.0,0,2
555,Ross County,Chillicothe,12,OH07101,CHILLICOTHE,"21,696",100,3.0,12.0,29,56
557,Sandusky County,Bellevue,12*,OH03904,BELLEVUE,"4,449",1,0.0,0.0,0,1
558,Sandusky County,Clyde,12,OH07202,CLYDE,"6,290",3,1.0,0.0,0,2
559,Sandusky County,Fremont,12,OH07203,FREMONT,"16,380",46,0.0,0.0,24,22
564,Seneca County,Fostoria,12*,OH07401,FOSTORIA,"9,184",9,0.0,1.0,4,4
565,Seneca County,Tiffin,12,OH07402,TIFFIN,"17,690",19,0.0,1.0,2,16
567,Shelby County,Sidney,12,OH07501,SIDNEY,"20,836",39,0.0,13.0,11,15
568,Shelby County,Fort Loramie,5,OH07504,FORT LORAMIE,"1,493",0,0.0,0.0,0,0
569,Shelby County,Jackson Center,7,OH07505,JACKSON CENTER,"1,453",0,0.0,0.0,0,0
