County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
#N/A,#N/A,16362,4,,,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,3349,6,,2,,4
#N/A,#N/A,692,,,,,
#N/A,#N/A,11368,4,,3,1,
#N/A,#N/A,,,,,,
#N/A,#N/A,8701,14,1,6,3,4
#N/A,#N/A,1788,,,,,
#N/A,#N/A,15560,12,1,6,,5
#N/A,#N/A,,,,,,
Highland County,Greenfield,4623,7,,1,4,2
Highland County,Hillsboro,6585,4,,3,1,
Highland County,Leesburg,1313,,,,,
Highland County,Lynchburg,29165,44,,3,,41
#N/A,#N/A,,,,,,
#N/A,#N/A,15,,,,,
Hocking County,Logan,7155,10,,3,6,1
#N/A,#N/A,22222,9,3,2,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,54,,,,,
#N/A,#N/A,3052,3,,2,,1
#N/A,#N/A,39218,4,,2,2,
#N/A,#N/A,,,,,,
#N/A,#N/A,362,,,,,
#N/A,#N/A,2455,3,,1,,2
#N/A,#N/A,16976,6,,2,3,1
#N/A,#N/A,6224,,,,,
#N/A,#N/A,1473,,,,,
#N/A,#N/A,1397,1,,,,1
#N/A,#N/A,1044,,,,,
#N/A,#N/A,907,,,,,
#N/A,#N/A,24988,4,,,2,2
#N/A,#N/A,,,,,,
#N/A,#N/A,6390,1,,,,1
#N/A,#N/A,5657,8,,,2,6
#N/A,#N/A,1551,4,1,,1,2
#N/A,#N/A,19586,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,3409,11,,1,,10
#N/A,#N/A,5024,3,,,,3
Jefferson County,Wintersville,3875,6,,,1,5
#N/A,#N/A,658,,,,,
#N/A,#N/A,1336,,,,,
#N/A,#N/A,2799,1,,1,,
#N/A,#N/A,24070,9,,1,4,4
#N/A,#N/A,,,,,,
Knox County,Mount Vernon,17086,19,,1,4,14
#N/A,#N/A,1051,3,,1,1,1
Knox County,Fredericktown,2508,2,,2,,
#N/A,#N/A,16,,,,,
#N/A,#N/A,40610,12,1,2,2,7
#N/A,#N/A,,,,,,
Lake County,Eastlake,18564,23,,1,13,9
#N/A,#N/A,3107,7,,2,2,3
#N/A,#N/A,646,,,,,
Lake County,Madison,3182,,,,,
Lake County,Mentor,47123,53,,15,27,11
#N/A,#N/A,7439,4,,,,4
Lake County,Painesville,19548,53,,12,29,12
#N/A,#N/A,471,,,,,
Lake County,Wickliffe,12741,5,,,,5
Lake County,Willoughby,22251,20,,3,14,3
#N/A,#N/A,9477,5,1,,1,3
#N/A,#N/A,14160,4,,,4,
#N/A,#N/A,15688,22,,,,22
#N/A,#N/A,,,,,,
#N/A,#N/A,6860,,,,,
#N/A,#N/A,47047,208,,21,5,182
#N/A,#N/A,,1,,,1,
#N/A,#N/A,,,,,,
#N/A,#N/A,11134,,,,,
#N/A,#N/A,3961,7,,2,1,4
#N/A,#N/A,44257,86,1,8,11,66
#N/A,#N/A,,,,,,
#N/A,#N/A,8866,21,,2,14,5
#N/A,#N/A,26,,,,,
#N/A,#N/A,47787,71,,20,33,18
Licking County,Granville,5662,2,,1,,1
#N/A,#N/A,10356,21,,8,4,9
Licking County,Hebron,2347,2,,2,,
Licking County,Johnstown,4653,3,,,1,2
#N/A,#N/A,526,,,,,
#N/A,#N/A,15030,3,,3,,
#N/A,#N/A,2126,3,,,1,2
#N/A,#N/A,,,,,,
#N/A,#N/A,62877,407,,51,13,343
#N/A,#N/A,,,,,,
Logan County,Bellefontaine,13321,33,,12,6,15
Logan County,Russells Point,1386,2,,2,,
Logan County,De Graff,1281,,,,,
#N/A,#N/A,1798,3,,2,1,
#N/A,#N/A,25691,10,,4,,6
#N/A,#N/A,,,,,,
Lorain County,Elyria,54578,,,,,
Lorain County,Vermilion,5847,5,,,3,2
Lorain County,Amherst,12030,4,,,3,1
Lorain County,Lorain,64148,326,4,35,136,151
Lorain County,Oberlin,8291,13,,4,7,2
Lorain County,North Ridgeville,29490,16,,3,4,9
Lorain County,Sheffield Lake,9144,2,,1,1,
Lorain County,Wellington,4806,,,,,
#N/A,#N/A,67103,33,1,8,17,7
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
