County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,FAIRFIELD COUNTY SHERIFF,"74,766",40,946,0,14,1,25,143,791,12,4
Fayette County,Washington Court House,WASHINGTON COURT HOUSE,"13,986",37,612,0,9,9,19,137,459,16,2
#N/A,#N/A,FAYETTE COUNTY SHERIFF,"14,589",24,513,2,10,5,7,157,346,10,2
Franklin County,Columbus,COLUMBUS,"844,206","4,405","34,368",89,849,"2,099","1,368","7,593","23,300","3,475",396
#N/A,#N/A,LITHOPOLIS,51,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,PICKERINGTON,76,0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,CAPITAL UNIVERSITY,0,0,51,0,0,0,0,20,30,1,1
Franklin County,Bexley,BEXLEY,"13,775",26,359,0,12,13,1,99,242,18,0
Franklin County,Dublin,DUBLIN,"38,892",20,438,0,8,5,7,82,344,12,2
Franklin County,Gahanna,GAHANNA,"34,859",20,789,0,10,6,4,99,660,30,2
Franklin County,Grandview Heights,GRANDVIEW HEIGHTS,"7,502",1,144,0,0,1,0,43,95,6,0
Franklin County,Grove City,GROVE CITY,"40,161",43,"1,678",2,7,26,8,144,"1,476",58,4
Franklin County,Hilliard,HILLIARD,"34,832",33,344,0,11,9,13,67,253,24,0
Franklin County,Reynoldsburg,REYNOLDSBURG,"27,474",61,987,5,6,26,24,115,833,39,5
Franklin County,Upper Arlington,UPPER ARLINGTON,"35,150",16,535,1,4,8,3,67,449,19,1
Franklin County,Westerville,WESTERVILLE,"30,397",16,733,0,5,7,4,59,661,13,4
Franklin County,Whitehall,WHITEHALL,"18,804",153,"1,163",2,25,74,52,299,794,70,9
Franklin County,Worthington,WORTHINGTON,"14,689",5,233,0,0,4,1,28,195,10,2
#N/A,#N/A,FRANKLIN COUNTY METRO PARKS,0,0,10,0,0,0,0,0,10,0,0
Franklin County,Groveport,GROVEPORT,"5,813",5,178,0,2,1,2,19,149,10,2
#N/A,#N/A,HARRISBURG,337,0,1,0,0,0,0,1,0,0,0
#N/A,#N/A,MINERVA PARK,"1,327",1,19,0,0,1,0,3,16,0,0
Franklin County,New Albany,NEW ALBANY,"10,210",5,168,0,2,1,2,16,142,10,0
#N/A,#N/A,THE OHIO STATE UNIVERSITY: COLUMBUS,0,33,820,0,14,8,11,23,783,14,2
#N/A,#N/A,PERRY TOWNSHIP,"3,799",0,53,0,0,0,0,5,48,0,0
#N/A,#N/A,MADISON TOWNSHIP,"18,466",22,210,0,1,12,9,59,137,14,0
#N/A,#N/A,SHARON TOWNSHIP,"2,451",0,33,0,0,0,0,3,29,1,0
#N/A,#N/A,COLUMBUS STATE COMMUNITY COLLEGE,0,0,52,0,0,0,0,1,51,0,0
#N/A,#N/A,OTTERBEIN UNIVERSITY,0,0,34,0,0,0,0,2,32,0,0
#N/A,#N/A,FRANKLIN COUNTY SHERIFF,"54,322",3,55,0,2,1,0,15,38,2,0
Fulton County,Archbold,ARCHBOLD,"4,342",4,58,0,0,0,4,12,46,0,1
Fulton County,Fayette,FAYETTE,"1,266",6,10,0,5,0,1,6,4,0,0
Fulton County,Swanton,SWANTON,"3,754",3,27,0,2,0,1,4,23,0,0
Fulton County,Wauseon,WAUSEON,"7,311",7,197,0,3,1,3,13,183,1,0
#N/A,#N/A,FULTON COUNTY SHERIFF,"22,667",15,250,2,7,1,5,82,156,12,4
#N/A,#N/A,GALLIPOLIS,"3,435",10,442,0,1,3,6,46,382,14,2
#N/A,#N/A,RIO GRANDE,839,3,16,0,2,0,1,7,9,0,1
#N/A,#N/A,UNIVERSITY OF RIO GRANDE,0,1,0,0,1,0,0,0,0,0,0
#N/A,#N/A,GALLIA COUNTY SHERIFF,"25,513",21,302,1,4,2,14,98,188,16,1
Geauga County,Chardon,CHARDON,"5,162",7,66,0,0,0,7,3,63,0,0
Geauga County,Burton,BURTON,"1,463",0,3,0,0,0,0,1,2,0,0
Geauga County,Middlefield,MIDDLEFIELD,"2,694",0,44,0,0,0,0,1,43,0,0
#N/A,#N/A,SOUTH RUSSELL,"3,827",2,4,0,1,1,0,0,4,0,0
#N/A,#N/A,RUSSELL TOWNSHIP,"5,250",1,15,0,0,0,1,0,15,0,0
Geauga County,Chesterland,CHESTER TOWNSHIP,"10,371",0,18,0,0,0,0,3,15,0,0
#N/A,#N/A,GEAUGA COUNTY SHERIFF,"53,686",20,210,2,7,2,9,49,144,17,2
#N/A,#N/A,FAIRBORN,"33,587",84,908,3,32,21,28,189,664,55,8
Greene County,Xenia,XENIA,"26,037",53,821,1,13,11,28,134,665,22,6
Greene County,Yellow Springs,YELLOW SPRINGS,"3,857",2,79,0,0,1,1,18,59,2,0
Greene County,Bellbrook,BELLBROOK,"7,074",3,57,0,2,0,1,4,51,2,0
Greene County,Jamestown,JAMESTOWN,"2,034",1,72,0,0,0,1,28,42,2,0
Greene County,Beavercreek,BEAVERCREEK,"46,490",32,"1,065",0,14,13,5,64,969,32,2
#N/A,#N/A,WRIGHT STATE UNIVERSITY,0,5,88,0,2,2,1,13,72,3,0
#N/A,#N/A,SUGARCREEK TOWNSHIP,"8,283",3,159,0,1,2,0,9,146,4,0
#N/A,#N/A,CENTRAL STATE UNIVERSITY,0,2,77,0,1,0,1,13,60,4,0
#N/A,#N/A,CENTERVILLE,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,KETTERING,469,0,8,0,0,0,0,2,6,0,0
#N/A,#N/A,GREENE COUNTY SHERIFF,"32,737",15,384,0,7,2,6,101,262,21,4
Guernsey County,Cambridge,CAMBRIDGE,"10,341",14,484,1,0,3,10,83,388,13,0
Guernsey County,Byesville,BYESVILLE,"2,363",0,8,0,0,0,0,0,8,0,1
Guernsey County,Senecaville,SENECAVILLE,443,0,0,0,0,0,0,0,0,0,0
