,County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
631,Richland County,Shelby,9241.0,12.0,,6.0,3.0,3.0
632,Richland County,Bellville,1903.0,,,,,
637,Ross County,Chillicothe,21954.0,101.0,,11.0,26.0,64.0
640,Sandusky County,Clyde,6303.0,3.0,,1.0,1.0,1.0
641,Sandusky County,Fremont,16676.0,27.0,,1.0,12.0,14.0
642,Sandusky County,Gibsonburg,2572.0,8.0,,1.0,1.0,6.0
652,Seneca County,Bloomville,951.0,,,,,
655,Shelby County,Sidney,21177.0,66.0,,8.0,17.0,41.0
656,Shelby County,Jackson Center,1460.0,,,,,
660,Stark County,Canton,72914.0,729.0,10.0,64.0,414.0,241.0
661,Stark County,Massillon,32104.0,68.0,,16.0,31.0,21.0
662,Stark County,Alliance,22253.0,96.0,2.0,17.0,31.0,46.0
663,Stark County,Brewster,2108.0,1.0,,,,1.0
664,Stark County,Canal Fulton,5472.0,3.0,,,,3.0
665,Stark County,East Canton,1588.0,2.0,,,1.0,1.0
666,Stark County,Hartville,2941.0,1.0,,,,1.0
667,Stark County,Louisville,9173.0,5.0,,,1.0,4.0
668,Stark County,Minerva,1939.0,2.0,,1.0,,1.0
669,Stark County,Navarre,1954.0,2.0,,2.0,,
670,Stark County,North Canton,17464.0,16.0,,1.0,7.0,8.0
671,Stark County,Beach City,1031.0,,,,,
672,Stark County,Waynesburg,921.0,,,,,
678,Stark County,Magnolia,711.0,,,,,
681,Summit County,Akron,198390.0,1777.0,25.0,173.0,580.0,999.0
682,Summit County,Barberton,26453.0,55.0,,14.0,23.0,18.0
683,Summit County,Cuyahoga Falls,49470.0,65.0,,17.0,13.0,35.0
684,Summit County,Hudson,22181.0,2.0,,,2.0,
686,Summit County,Stow,34709.0,26.0,,15.0,8.0,3.0
687,Summit County,Tallmadge,17193.0,18.0,,13.0,,5.0
688,Summit County,Twinsburg,18726.0,10.0,,4.0,2.0,4.0
689,Summit County,Munroe Falls,4994.0,,,,,
690,Summit County,Peninsula,562.0,,,,,
694,Summit County,Richfield,3634.0,,,,,
696,Summit County,New Franklin,14174.0,3.0,1.0,,,2.0
701,Trumbull County,Warren,41355.0,280.0,4.0,16.0,102.0,158.0
702,Trumbull County,Girard,9906.0,19.0,,3.0,6.0,10.0
703,Trumbull County,Hubbard,7834.0,17.0,,1.0,7.0,9.0
705,Trumbull County,Niles,19167.0,46.0,,4.0,25.0,17.0
706,Trumbull County,Cortland,7069.0,,,,,
708,Trumbull County,Brookfield Center,8809.0,14.0,,2.0,3.0,9.0
709,Trumbull County,Lordstown,3400.0,1.0,,,,1.0
717,Trumbull County,Vienna Center,3959.0,3.0,,1.0,,2.0
720,Tuscarawas County,Dennison,2654.0,,,,,
732,Union County,Plain City,836.0,,,,,
733,Union County,Marysville,22287.0,1.0,,,1.0,
734,Union County,Richwood,2252.0,,,,,
738,Van Wert County,Van Wert,10792.0,18.0,,2.0,1.0,15.0
747,Warren County,Franklin,11895.0,34.0,,9.0,10.0,15.0
748,Warren County,Lebanon,20241.0,19.0,,12.0,3.0,4.0
749,Warren County,Mason,31037.0,12.0,,2.0,7.0,3.0
752,Warren County,Maineville,986.0,,,,,
753,Warren County,Springboro,16362.0,6.0,,3.0,,3.0
754,Warren County,Waynesville,2863.0,,,,,
758,Washington County,Belpre,6439.0,2.0,,1.0,,1.0
759,Washington County,Marietta,14079.0,11.0,,1.0,4.0,6.0
761,Washington County,Beverly,1312.0,1.0,,1.0,,
766,Wayne County,Orrville,8386.0,12.0,,6.0,6.0,
767,Wayne County,Rittman,6380.0,4.0,,,,4.0
768,Wayne County,Wooster,26137.0,42.0,1.0,15.0,10.0,16.0
769,Wayne County,Creston,2073.0,,,,,
770,Wayne County,Marshallville,756.0,,,,,
771,Wayne County,Smithville,1252.0,,,,,
772,Wayne County,West Salem,1468.0,1.0,,1.0,,
776,Williams County,Bryan,8533.0,,,,,
777,Williams County,Montpelier,4067.0,10.0,,1.0,1.0,8.0
778,Williams County,Edgerton,2010.0,,,,,
779,Williams County,Pioneer,1379.0,1.0,,1.0,,
783,Wood County,Bowling Green,30219.0,71.0,1.0,17.0,14.0,39.0
784,Wood County,Perrysburg,20771.0,16.0,,3.0,2.0,11.0
785,Wood County,Rossford,6338.0,1.0,,1.0,,
786,Wood County,Bradner,991.0,,,,,
787,Wood County,Haskins,1196.0,,,,,
788,Wood County,Luckey,1019.0,,,,,
789,Wood County,Northwood,5304.0,8.0,,3.0,2.0,3.0
790,Wood County,Pemberville,1382.0,,,,,
792,Wood County,Walbridge,3040.0,,,,,
793,Wood County,Wayne,893.0,,,,,
