ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH02512,WORTHINGTON,FRANKLIN COUNTY,"14,692",11,267,2,2,3,4,27,227,13,1
OH02514,COLUMBUS & FRKLN COUNTY,FRANKLIN COUNTY,,,2,,,,,,2,,
OH02516,GROVEPORT,FRANKLIN COUNTY,"5,583",12,185,,3,6,3,29,144,12,1
OH02517,HARRISBURG,FRANKLIN COUNTY,337,,1,,,,,,1,,
OH02520,MINERVA PARK,FRANKLIN COUNTY,"1,318",2,17,,,1,1,2,14,1,
OH02521,NEW ALBANY,FRANKLIN COUNTY,"10,670",4,91,,2,,2,6,81,4,
OH02527,OHIO STATE UNIVERSITY: COLUMBUS,FRANKLIN COUNTY,,41,798,,30,5,6,24,763,11,1
OH02534,PERRY TOWNSHIP,FRANKLIN COUNTY,"3,758",2,53,,,1,1,4,47,2,
OH02535,MADISON TOWNSHIP,FRANKLIN COUNTY,"18,661",19,187,,2,5,12,51,129,7,
OH02540,SHARON TOWNSHIP,FRANKLIN COUNTY,"2,390",,41,,,,,3,37,1,
OH02544,COLUMBUS STATE COMMUNITY COLLEGE,FRANKLIN COUNTY,,1,43,,,1,,1,41,1,
OH02599,OTTERBEIN UNIVERSITY,FRANKLIN COUNTY,,,24,,,,,1,23,,
OH02500,FRANKLIN COUNTY SHERIFF,FRANKLIN COUNTY,"58,934",60,683,2,4,35,19,160,498,25,2
OH02601,ARCHBOLD,FULTON COUNTY,"4,338",2,41,,1,,1,6,34,1,
OH02603,FAYETTE,FULTON COUNTY,"1,265",2,12,,2,,,2,10,,1
OH02604,SWANTON,FULTON COUNTY,"3,768",5,51,,4,,1,8,39,4,
OH02605,WAUSEON,FULTON COUNTY,"7,407",10,169,,1,1,8,14,151,4,
OH02600,FULTON COUNTY SHERIFF,FULTON COUNTY,"22,688",24,191,,7,1,16,58,131,2,
OH02801,CHARDON,GEAUGA COUNTY,"5,199",10,96,,1,,9,4,91,1,
OH02803,BURTON,GEAUGA COUNTY,"1,460",,1,,,,,,1,,
OH02805,MIDDLEFIELD,GEAUGA COUNTY,"2,715",1,86,,,,1,2,84,,
