County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,12,OH01810,BROOKLYN,"10,985",20,709,,,14,6
Cuyahoga County,Brook Park,9,OH01812,BROOK PARK,"18,941",14,93,1,1,3,9
#N/A,#N/A,12,OH01813,CHAGRIN FALLS,"4,069",1,53,,,1,
Cuyahoga County,Cleveland Heights,12,OH01815,CLEVELAND HEIGHTS,"46,309",144,"1,556",1,5,94,44
#N/A,#N/A,12,OH01817,EAST CLEVELAND,"17,520",183,437,7,4,136,36
Cuyahoga County,Euclid,12,OH01818,EUCLID,"48,095",93,472,,13,23,57
Cuyahoga County,Garfield Heights,7,OH01820,GARFIELD HEIGHTS,"28,339",39,605,,4,22,13
Cuyahoga County,Gates Mills,12,OH01821,GATES MILLS,"2,256",,17,,,,
#N/A,#N/A,12,OH01823,HIGHLAND HEIGHTS,"8,277",6,100,,1,3,2
#N/A,#N/A,12*,OH01824,HUNTING VALLEY,591,,,,,,
#N/A,#N/A,12,OH01825,INDEPENDENCE,"7,140",4,155,,1,1,2
Cuyahoga County,Lakewood,12,OH01826,LAKEWOOD,"51,167",48,953,1,10,24,13
Cuyahoga County,Lyndhurst,12,OH01827,LYNDHURST,"13,769",5,,,2,,3
#N/A,#N/A,11,OH01829,MAYFIELD HEIGHTS,"18,922",8,284,,,4,4
#N/A,#N/A,11,OH01830,MAYFIELD VILLAGE,"3,410",5,39,,,,5
#N/A,#N/A,12,OH01832,MORELAND HILLS,"3,302",,11,,,,
#N/A,#N/A,12,OH01838,OLMSTED TOWNSHIP,"13,303",5,105,,,1,4
Cuyahoga County,Olmsted Falls,12,OH01839,OLMSTED FALLS,"8,910",1,38,,,,1
#N/A,#N/A,5,OH01840,ORANGE VILLAGE,"3,287",1,17,,,,1
Cuyahoga County,Parma,12,OH01842,PARMA,"80,303",87,856,1,23,31,32
Cuyahoga County,Parma Heights,12,OH01843,PARMA HEIGHTS,"20,395",17,437,,5,4,8
