,County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
588,Summit County,Munroe Falls,MUNROE FALLS,"5,012",2,40,0,1,0,1,5,35,0,2
589,Summit County,Peninsula,PENINSULA,572,1,27,0,0,1,0,3,24,0,0
593,Summit County,Copley,COPLEY TOWNSHIP,"17,653",5,108,0,2,1,2,12,91,5,0
599,Trumbull County,Warren,WARREN,"40,005",228,"1,509",2,27,90,109,511,905,93,6
600,Trumbull County,Hubbard,HUBBARD,"7,609",10,133,0,0,0,10,21,107,5,1
602,Trumbull County,Newton Falls,NEWTON FALLS,"4,628",9,92,0,3,2,4,17,72,3,0
603,Trumbull County,Niles,NILES,"18,538",53,524,1,8,21,23,79,431,14,1
604,Trumbull County,Cortland,CORTLAND,"6,894",1,77,0,0,0,1,15,59,3,0
606,Trumbull County,Lordstown,LORDSTOWN,"3,278",1,5,0,1,0,0,0,5,0,0
612,Trumbull County,Vienna Center,VIENNA TOWNSHIP,"3,817",5,65,0,1,0,4,15,49,1,0
614,Tuscarawas County,Dennison,DENNISON,"2,638",2,12,0,0,0,2,0,12,0,0
627,Union County,Plain City,PLAIN CITY,828,0,3,0,0,0,0,0,3,0,0
628,Union County,Marysville,MARYSVILLE,"22,952",7,144,0,2,1,4,15,123,6,1
631,Van Wert County,Van Wert,VAN WERT,"10,794",29,353,0,10,1,18,86,262,5,0
638,Warren County,Franklin,FRANKLIN,"11,782",23,542,1,4,10,8,136,390,16,0
640,Warren County,Mason,MASON,"33,026",6,330,0,3,2,1,17,305,8,1
643,Warren County,Maineville,MAINEVILLE,992,0,2,0,0,0,0,1,1,0,0
644,Warren County,Springboro,SPRINGBORO,"17,119",11,96,0,6,1,4,8,82,6,0
647,Washington County,Belpre,BELPRE,"6,484",11,107,0,3,2,6,13,85,9,1
648,Washington County,Marietta,MARIETTA,"13,867",8,101,0,2,4,2,16,82,3,1
652,Wayne County,Orrville,ORRVILLE,"8,514",16,111,3,4,1,8,30,80,1,1
653,Wayne County,Rittman,RITTMAN,"6,484",4,135,0,1,1,2,36,85,14,2
654,Wayne County,Wooster,WOOSTER,"26,883",73,776,0,24,14,35,127,633,16,10
655,Wayne County,Apple Creek,APPLE CREEK,"1,186",0,5,0,0,0,0,1,4,0,0
657,Wayne County,Smithville,SMITHVILLE,"1,273",3,3,0,1,0,2,0,3,0,0
659,Williams County,Montpelier,MONTPELIER,"3,980",14,146,1,5,3,5,18,113,15,2
660,Williams County,Pioneer,PIONEER,"1,406",2,23,0,1,0,1,7,16,0,0
